requirement_id,role_id,skill_id,required_level
1,1,21,Intermediate
2,1,55,Advanced
3,1,56,Advanced
4,1,1,Intermediate
5,1,62,Intermediate
6,1,57,Advanced
7,1,60,Beginner
8,2,21,Advanced
9,2,57,Advanced
10,2,55,Intermediate
11,2,66,Advanced
12,2,70,Advanced
13,2,72,Advanced
14,2,67,Advanced
15,3,21,Advanced
16,3,57,Expert
17,3,55,Advanced
18,3,1,Intermediate
19,3,62,Intermediate
20,3,70,Advanced
21,3,9,Beginner
22,4,21,Advanced
23,4,1,Intermediate
24,4,45,Intermediate
25,4,55,Advanced
26,4,70,Advanced
27,4,67,Advanced
28,4,57,Advanced
29,5,65,Expert
30,5,66,Expert
31,5,72,Advanced
32,5,67,Advanced
33,5,68,Advanced
34,5,69,Advanced
35,5,71,Advanced
36,6,66,Advanced
37,6,57,Advanced
38,6,21,Intermediate
39,6,68,Advanced
40,6,67,Advanced
41,6,69,Advanced
42,7,66,Advanced
43,7,65,Advanced
44,7,68,Advanced
45,7,72,Intermediate
46,7,69,Advanced
47,8,65,Advanced
48,8,66,Expert
49,8,72,Advanced
50,8,68,Advanced
51,8,71,Advanced
52,9,1,Advanced
53,9,2,Advanced
54,9,21,Advanced
55,9,22,Intermediate
56,9,73,Intermediate
57,9,76,Advanced
58,9,20,Advanced
59,10,4,Advanced
60,10,5,Advanced
61,10,19,Expert
62,10,66,Intermediate
63,10,76,Advanced
64,10,71,Intermediate
65,11,1,Advanced
66,11,4,Advanced
67,11,19,Advanced
68,11,20,Advanced
69,11,21,Intermediate
70,11,73,Intermediate
71,11,76,Advanced
72,12,2,Intermediate
73,12,1,Intermediate
74,12,77,Intermediate
75,12,76,Advanced
76,12,67,Advanced
77,12,71,Intermediate
78,13,1,Expert
79,13,2,Expert
80,13,21,Expert
81,13,73,Advanced
82,13,74,Advanced
83,13,65,Advanced
84,13,72,Expert
85,14,10,Advanced
86,14,11,Advanced
87,14,18,Intermediate
88,14,4,Intermediate
89,14,76,Advanced
90,15,1,Expert
91,15,43,Advanced
92,15,44,Advanced
93,15,45,Expert
94,15,62,Advanced
95,15,63,Advanced
96,15,21,Advanced
97,16,1,Expert
98,16,43,Advanced
99,16,44,Expert
100,16,45,Advanced
101,16,51,Advanced
102,16,62,Expert
103,16,21,Advanced
104,17,1,Expert
105,17,45,Expert
106,17,62,Expert
107,17,63,Advanced
108,17,9,Intermediate
109,17,55,Advanced
110,17,21,Advanced
111,17,48,Intermediate
112,18,1,Expert
113,18,48,Expert
114,18,52,Advanced
115,18,45,Advanced
116,18,62,Advanced
117,18,44,Advanced
118,19,1,Expert
119,19,47,Expert
