resource_id,skill_id,course_name,platform,difficulty,duration,course_url
1,1,Python for Everybody,Coursera,Beginner,5 hours,https://coursera.org/learn/python
2,1,Complete Python Bootcamp,Udemy,Intermediate,22 hours,https://udemy.com/course/complete-python-bootcamp
3,1,Python for Data Science,edX,Advanced,16 hours,https://edx.org/course/python-for-data-science
4,2,Java Programming Masterclass,Udemy,Intermediate,80 hours,https://udemy.com/course/java-the-complete-java-developer-course
5,2,Object Oriented Programming in Java,Coursera,Beginner,6 hours,https://coursera.org/learn/object-oriented-java
6,4,The Complete JavaScript Course,Udemy,Beginner,69 hours,https://udemy.com/course/the-complete-javascript-course
7,4,JavaScript Algorithms,YouTube,Intermediate,10 hours,https://youtube.com/playlist?list=PLn2ipk-jqgZiAHiA70hOxAvNQ7RKS4b5e
8,5,TypeScript Deep Dive,edX,Intermediate,12 hours,https://edx.org/course/typescript-fundamentals
9,5,Understanding TypeScript,Udemy,Beginner,15 hours,https://udemy.com/course/understanding-typescript
10,19,React — The Complete Guide,Udemy,Intermediate,48 hours,https://udemy.com/course/react-the-complete-guide
11,19,Full Stack React,Coursera,Advanced,20 hours,https://coursera.org/specializations/full-stack-react
12,19,React JS Crash Course,YouTube,Beginner,2 hours,https://youtube.com/watch?v=w7ejDZ8SWv8
13,20,Node.js API Masterclass,Udemy,Intermediate,18 hours,https://udemy.com/course/nodejs-api-masterclass
14,20,The Complete Node.js Developer Course,Udemy,Beginner,35 hours,https://udemy.com/course/the-complete-nodejs-developer-course-2
15,21,SQL for Data Science,Coursera,Beginner,8 hours,https://coursera.org/learn/sql-for-data-science
16,21,Advanced SQL for Data Engineers,edX,Advanced,14 hours,https://edx.org/course/advanced-sql
17,21,SQL Bootcamp,Udemy,Intermediate,9 hours,https://udemy.com/course/the-complete-sql-bootcamp
18,22,MySQL Bootcamp,Udemy,Beginner,20 hours,https://udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert
19,22,MySQL for Beginners,YouTube,Beginner,3 hours,https://youtube.com/watch?v=7S_tz1z_5bA
20,23,PostgreSQL for Everybody,Coursera,Intermediate,10 hours,https://coursera.org/specializations/postgresql-for-everybody
21,23,PostgreSQL Tutorial,YouTube,Beginner,4 hours,https://youtube.com/watch?v=qw--VYLpxG4
22,24,MongoDB Basics,MongoDB University,Beginner,6 hours,https://university.mongodb.com/courses/M001/about
23,24,MongoDB — The Complete Guide,Udemy,Intermediate,17 hours,https://udemy.com/course/mongodb-the-complete-developers-guide
24,33,AWS Certified Cloud Practitioner,Coursera,Beginner,12 hours,https://coursera.org/learn/aws-cloud-practitioner-essentials
25,33,AWS Solutions Architect,Udemy,Advanced,26 hours,https://udemy.com/course/aws-certified-solutions-architect-associate-saa-c03
26,33,AWS Cloud Fundamentals,edX,Intermediate,16 hours,https://edx.org/course/aws-fundamentals-going-cloud-native
27,34,AZ-900 Azure Fundamentals,Udemy,Beginner,10 hours,https://udemy.com/course/az900-azure
28,34,Azure Administrator,Coursera,Advanced,18 hours,https://coursera.org/specializations/azure-administration
29,34,Microsoft Azure Fundamentals,edX,Beginner,8 hours,https://edx.org/course/microsoft-azure-fundamentals-az-900-exam-prep
